duration_seconds_int,comments,city,date_posted,longitude,state,duration_seconds,duration_hours,id,shape,datetime,latitude,country
10,I submitted this report last week&#44 but haven&#39t seen it posted&#44 so I thought it may have been lost in the shuffle.  Incidentally&#44 as a c,childress (north of),1999-01-28,-100.2036111,tx,10,10 seconds,5242,sphere,1997-10-29 19:00:00.000000,34.4263889,us
1800,Egg shapped craft&#44 leaving trail of spider web like material,bertram,2002-11-04,-98.0552778,tx,1800,30 min,5277,egg,2002-10-29 12:00:00.000000,30.7436111,us
3,&quot;Comet Like&quot; Blue/Green streak before dusk.......,austin,2002-11-04,-97.7427778,tx,3,3 seconds,5278,fireball,2002-10-29 17:45:00.000000,30.2669444,us
180,Object in the night sky.,boyd,2004-12-03,-97.565,tx,180,three minutes,5298,disk,2004-10-29 23:45:00.000000,33.0786111,us
600,Three UFO&#39 seen over Dallas&#44 TX during daylight hours,dallas,2006-02-14,-96.8,tx,600,10 minutes,5305,disk,2005-10-29 10:00:00.000000,32.7833333,us
900,Lights over Abilene,abilene,2008-10-31,-99.7327778,tx,900,10-15 minutes,5341,light,2008-10-29 19:45:00.000000,32.4486111,us
15,Saw a string of about 10 to 12 lights in a loose V-formation very high up moving quickly across the sky in Austin&#44 TX.,austin,2010-11-21,-97.7427778,tx,15,15 seconds,5362,formation,2010-10-29 04:05:00.000000,30.2669444,us
120,Katy Texas Ufo sighting involving fighter jets,katy,2010-11-21,-95.8241667,tx,120,2 minutes,5371,light,2010-10-29 18:00:00.000000,29.7855556,us
5,Pitch black triangle shaped object travelling across the night sky,college station,2012-10-30,-96.3341667,tx,5,5 seconds,5409,triangle,2012-10-29 01:40:00.000000,30.6277778,us
600,Strange lights outside of bedroom window&#44 little aliens.,corpus christi,2014-04-04,-97.3961111,tx,600,10 minutes,5438,oval,1970-10-30 03:00:00.000000,27.8002778,us
1000,Somethings out there,dallas,2006-05-15,-96.8,tx,1000,16:40,5442,disk,1976-10-30 16:30:00.000000,32.7833333,us
25,i was taking dog for walk and was noticing how pretty sky was when i noticed an red-orange glow in the sky.,smithville,1999-11-02,-97.1591667,tx,25,25sec,5467,circle,1999-10-30 22:30:00.000000,30.0083333,us
43200,had a circle of lights with Y in center of it.,sulphur springs,2000-12-09,-95.6008333,tx,43200,12 hours,5470,circle,2000-10-30 18:00:00.000000,33.1383333,us
3,Firework like flash looking like one lighted point hitting another and creating short spark shower&#44 then dissapears.,austin,2001-11-20,-97.7427778,tx,3,3 sec,5474,fireball,2001-10-30 00:30:00.000000,30.2669444,us
120,San Diego CA Marine Air Base Ball of Light,san diego,2009-12-12,-98.2386111,tx,120,2 minutes,5478,,2002-10-30 01:00:00.000000,27.7636111,us
5,There was no smoke or trailing from the fireball so it wasn&#39t a rocket or metor.,austin,2002-11-04,-97.7427778,tx,5,:05,5484,fireball,2002-10-30 17:55:00.000000,30.2669444,us
1.2,While siting in the front yard conversing with a friend and skywatching for meteors a bright blue violet light appeared rising over the,thornton,2004-11-02,-96.5719444,tx,1.2,1.5-2.0 sec.,5507,sphere,2004-10-30 21:00:00.000000,31.4108333,us
120,Blindingly bright pink light in night sky.,iowa park,2007-11-28,-98.6683333,tx,120,2 minutes,5557,triangle,2007-10-30 23:45:00.000000,33.9513889,us
30,4-6 orange/amber lights  fading in and out,cisco,2008-10-31,-98.9788889,tx,30,30 secs,5575,formation,2008-10-30 20:45:00.000000,32.3880556,us
180,Lights over Abilene&#44 TX,abilene,2008-10-31,-99.7327778,tx,180,2-3 minutes,5579,light,2008-10-30 23:05:00.000000,32.4486111,us
300,Driving down Highway 146 Friday night around 9:30PM my husband and I noticed a very bright object in the sky.  My husband asked if that,dayton,2009-12-12,-94.885,tx,300,5 minutes,5582,triangle,2009-10-30 21:00:00.000000,30.0463889,us
45,Bright white oval jumps southwest then disappears into thin air.,canyon lake,2011-12-12,-98.2622222,tx,45,30-45 seconds,5612,oval,2011-10-30 20:02:00.000000,29.8750000,us
5,Traveling southwest&#44 triangular dim lit silent craft. Translucent with approximately twenty lights. Wife was outside with the dog and s,cleburne,2011-12-12,-97.3863889,tx,5,5 seconds,5616,triangle,2011-10-30 23:20:00.000000,32.3475000,us
180,Two identical triangular shaped objects flying high&#44 orange color orbs underneath.,midlothian,2012-11-04,-96.9941667,tx,180,3 minutes,5633,triangle,2012-10-30 23:30:00.000000,32.4822222,us
